Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,60,1250,75000,37500,Outlet
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,55,1025,56375,16912.5,Outlet
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,50,950,47500,16625,Outlet
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,50,925,46250,16187.5,Outlet
Walmart,1185732,4/17/2020,Northeast,New York,New York,Men's Apparel,60,900,54000,16200,Outlet
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,65,1075,69875,17468.75,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,60,1200,72000,36000,Outlet
Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,55000,16500,Outlet
Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,50,925,46250,16187.5,Outlet
Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,45000,15750,Outlet
Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,60,900,54000,16200,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,65,1000,65000,16250,Outlet
Walmart,1185732,4/25/2020,Northeast,New York,New York,Men's Apparel,65,875,56875,17062.5,Outlet
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,70,1000,70000,17500,Outlet
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,65,1150,74750,37375,Outlet
Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,55,975,53625,16087.5,Outlet
Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,55,920,50600,17710,Outlet
Walmart,1185732,4/30/2020,Northeast,New York,New York,Women's Athletic Footwear,55,900,49500,17325,Outlet
Walmart,1185732,5/1/2020,Northeast,New York,New York,Men's Apparel,65,875,56875,17062.5,Outlet
Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,70,975,68250,17062.5,Outlet
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,65,1200,78000,39000,Outlet
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,55000,16500,Outlet
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,55,950,52250,18287.5,Outlet
Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,55,900,49500,17325,Outlet
Walmart,1185732,5/7/2020,Northeast,New York,New York,Men's Apparel,65,900,58500,17550,Outlet
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,70,1000,70000,17500,Outlet
Sports Direct,1197831,7/19/2020,Northeast,New York,New York,Men's Street Footwear,25,900,22500,7875,Outlet
Sports Direct,1197831,7/20/2020,Northeast,New York,New York,Men's Athletic Footwear,35,900,31500,11025,Outlet
Sports Direct,1197831,7/21/2020,Northeast,New York,New York,Women's Street Footwear,35,700,24500,8575,Outlet
Sports Direct,1197831,7/22/2020,Northeast,New York,New York,Women's Athletic Footwear,35,700,24500,11025,Outlet
Sports Direct,1197831,7/23/2020,South,Texas,Houston,Men's Apparel,40,550,22000,6600,Outlet
Sports Direct,1197831,7/24/2020,South,Texas,Houston,Women's Apparel,35,700,24500,12250,Outlet
Sports Direct,1197831,7/25/2020,South,Texas,Houston,Men's Street Footwear,25,850,21250,7437.5,Outlet
Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,35,850,29750,10412.5,Outlet
Sports Direct,1197831,7/27/2020,Unknown,Texas,Houston,Women's Street Footwear,35,675,23625,8268.75,Outlet
Sports Direct,1197831,7/28/2020,South,Texas,Houston,Women's Athletic Footwear,35,625,21875,9843.75,Outlet
Sports Direct,1197831,7/29/2020,South,Texas,Houston,Men's Apparel,,500,20000,6000,Outlet
Sports Direct,1197831,7/30/2020,South,Texas,Houston,Women's Apparel,35,700,24500,12250,Outlet
Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,30,875,26250,9187.5,Outlet
Sports Direct,1197831,8/1/2020,Unknown,Texas,Houston,Men's Athletic Footwear,40,875,35000,12250,Outlet
Sports Direct,1197831,8/2/2020,South,Texas,Houston,Women's Street Footwear,35,700,24500,8575,Outlet
Sports Direct,1197831,8/3/2020,South,Texas,Houston,Women's Athletic Footwear,40,600,24000,10800,Outlet
Sports Direct,1197831,8/4/2020,South,Texas,Houston,Men's Apparel,45,500,22500,6750,Outlet
Sports Direct,1197831,8/5/2020,South,Texas,Houston,Women's Apparel,40,650,26000,13000,Outlet
Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,30,900,27000,9450,Outlet
Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,40,900,36000,12600,Outlet
Sports Direct,1197831,8/8/2020,South,Texas,Houston,Women's Street Footwear,35,725,25375,8881.25,Outlet
Sports Direct,1197831,8/9/2020,South,Texas,Houston,Women's Athletic Footwear,40,625,25000,11250,Outlet
Walmart,1197831,8/10/2020,South,Texas,Houston,Men's Apparel,45,525,23625,7087.5,Outlet
Walmart,1197831,8/11/2020,South,Texas,Houston,Women's Apparel,40,800,32000,16000,Outlet
Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,30,925,27750,9712.5,Outlet
Walmart,1197831,8/13/2020,South,Texas,Houston,Men's Athletic Footwear,40,925,37000,12950,Outlet
Walmart,1197831,8/14/2020,South,Texas,Houston,Women's Street Footwear,35,775,27125,9493.75,Outlet
Walmart,1197831,8/15/2020,South,Texas,Houston,Women's Athletic Footwear,40,700,28000,12600,Outlet
Walmart,1197831,8/16/2020,South,Texas,Houston,Men's Apparel,45,600,27000,8100,Outlet
Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,40,950,38000,19000,Outlet
Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,40,950,38000,13300,Outlet
Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,45,950,42750,14962.5,Outlet
Walmart,1197831,8/20/2020,South,Texas,Houston,Women's Street Footwear,40,800,32000,11200,Outlet
Walmart,1197831,8/21/2020,South,Texas,Houston,Women's Athletic Footwear,40,750,30000,13500,Outlet
Walmart,1197831,8/22/2020,South,Texas,Houston,Men's Apparel,45,650,29250,8775,Outlet
Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,50,1000,50000,25000,Outlet
Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,40,950,38000,13300,Outlet
Walmart,1197831,8/25/2020,South,Texas,Houston,Men's Athletic Footwear,45,950,42750,14962.5,Outlet
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,40,1100,44000,15400,Outlet
Walmart,1197831,8/27/2020,South,Texas,Houston,Women's Athletic Footwear,40,700,28000,12600,Outlet
Walmart,1197831,8/28/2020,South,Texas,Houston,Men's Apparel,45,700,31500,9450,Outlet
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,50,975,48750,24375,Outlet
Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,40,925,37000,12950,Outlet
Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,45,925,41625,14568.75,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,40,1100,44000,15400,Outlet
Walmart,1197831,9/2/2020,South,Texas,Houston,Women's Athletic Footwear,40,650,26000,11700,Outlet
Walmart,1197831,9/3/2020,South,Texas,Houston,Men's Apparel,45,650,29250,8775,Outlet
Walmart,1197831,9/4/2020,South,Texas,Houston,Women's Apparel,50,900,45000,22500,Outlet
Walmart,1197831,9/5/2020,South,Texas,Houston,Men's Street Footwear,45,850,38250,13387.5,Outlet
Walmart,1197831,9/6/2020,South,Texas,Houston,Men's Athletic Footwear,45,850,38250,13387.5,Outlet
Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,50,900,45000,15750,Outlet
Walmart,1197831,9/8/2020,South,Texas,Houston,Women's Athletic Footwear,50,625,31250,14062.5,Outlet
Walmart,1197831,9/9/2020,South,Texas,Houston,Men's Apparel,45,625,28125,8437.5,Outlet
Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,55,850,46750,23375,Outlet
Walmart,1197831,9/11/2020,South,Texas,Houston,Men's Street Footwear,45,800,36000,12600,Outlet
Walmart,1197831,9/12/2020,South,Texas,Houston,Men's Athletic Footwear,45,800,36000,12600,Outlet
Walmart,1197831,9/13/2020,South,Texas,Houston,Women's Street Footwear,50,750,37500,13125,Outlet
Walmart,1197831,9/14/2020,South,Texas,Houston,Women's Athletic Footwear,50,600,30000,13500,Outlet
Walmart,1197831,9/15/2020,South,Texas,Houston,Men's Apparel,45,575,25875,7762.5,Outlet
Walmart,1197831,9/16/2020,South,Texas,Houston,Women's Apparel,55,750,41250,20625,Outlet
Walmart,1197831,10/20/2020,South,Texas,Houston,Men's Street Footwear,45,900,40500,14175,Outlet
Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,45,900,40500,14175,Outlet
Walmart,1197831,10/22/2020,South,Texas,Houston,Women's Street Footwear,50,825,41250,14437.5,Outlet
Walmart,1197831,10/23/2020,South,Texas,Houston,Women's Athletic Footwear,50,675,33750,15187.5,Outlet
Walmart,1197831,10/24/2020,South,Texas,Houston,Men's Apparel,45,650,29250,8775,Outlet
Walmart,1197831,10/25/2020,South,Texas,Houston,Women's Apparel,55,850,46750,23375,Outlet
Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,45,950,42750,14962.5,Outlet
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,45,950,42750,14962.5,Outlet
Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,50,850,42500,14875,Outlet
Walmart,1197831,10/29/2020,South,Texas,Houston,Women's Athletic Footwear,50,700,35000,15750,Outlet
Walmart,1197831,10/30/2020,South,Texas,Houston,Men's Apparel,45,650,29250,8775,Outlet
Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,55,900,49500,24750,Outlet
West Gear,1128299,11/1/2020,South,Texas,Houston,Men's Street Footwear,40,775,31000,10850,Outlet
West Gear,1128299,11/2/2020,South,Texas,Houston,Men's Athletic Footwear,50,775,38750,7750,Outlet
West Gear,1128299,11/3/2020,South,Texas,Houston,Women's Street Footwear,50,775,38750,13562.5,Outlet
West Gear,1128299,11/4/2020,South,Texas,Houston,Women's Athletic Footwear,50,625,31250,9375,Outlet
West Gear,1128299,11/5/2020,West,California,San Francisco,Men's Apparel,55,575,31625,15812.5,Outlet
West Gear,1128299,11/6/2020,West,California,San Francisco,Women's Apparel,50,775,38750,5812.5,Outlet
West Gear,1128299,11/7/2020,West,California,San Francisco,Men's Street Footwear,40,825,33000,11550,Outlet
West Gear,1128299,11/8/2020,West,California,San Francisco,Men's Athletic Footwear,50,725,36250,7250,Outlet
West Gear,1128299,11/9/2020,West,California,San Francisco,Women's Street Footwear,50,725,36250,12687.5,Outlet
West Gear,1128299,11/10/2020,West,California,San Francisco,Women's Athletic Footwear,50,575,28750,8625,Outlet
West Gear,1128299,11/11/2020,West,California,San Francisco,Men's Apparel,55,500,27500,13750,Outlet
West Gear,1128299,11/12/2020,West,California,San Francisco,Women's Apparel,50,700,35000,5250,Outlet
West Gear,1128299,11/13/2020,West,California,San Francisco,Men's Street Footwear,50,850,42500,14875,Outlet
West Gear,1128299,11/14/2020,West,California,San Francisco,Men's Athletic Footwear,60,700,42000,8400,Outlet
West Gear,1128299,11/15/2020,West,California,San Francisco,Women's Street Footwear,60,700,42000,14700,Outlet
West Gear,1128299,12/22/2020,West,California,San Francisco,Women's Athletic Footwear,60,600,36000,10800,Outlet
West Gear,1128299,12/23/2020,West,California,San Francisco,Men's Apparel,65,500,32500,16250,Outlet
West Gear,1128299,12/24/2020,West,California,San Francisco,Women's Apparel,60,700,42000,6300,Outlet
West Gear,1128299,12/25/2020,West,California,San Francisco,Men's Street Footwear,60,875,52500,18375,Outlet
West Gear,1128299,12/26/2020,West,California,San Francisco,Men's Athletic Footwear,65,675,43875,8775,Outlet
West Gear,1128299,12/27/2020,West,California,San Francisco,Women's Street Footwear,65,725,47125,16493.75,Outlet
West Gear,1128299,12/28/2020,West,California,San Francisco,Women's Athletic Footwear,60,625,37500,11250,Outlet
West Gear,1128299,12/29/2020,West,California,San Francisco,Men's Apparel,65,525,34125,17062.5,Outlet
West Gear,1128299,12/30/2020,Unknown,California,San Francisco,Women's Apparel,80,700,56000,8400,Outlet
West Gear,1128299,12/31/2020,West,California,San Francisco,Men's Street Footwear,60,900,54000,21600,Outlet
West Gear,1128299,1/1/2021,West,California,San Francisco,Men's Athletic Footwear,65,750,48750,12187.5,Outlet
West Gear,1128299,1/2/2021,West,California,San Francisco,Women's Street Footwear,65,750,48750,19500,Outlet
West Gear,1128299,1/3/2021,West,California,San Francisco,Women's Athletic Footwear,60,650,39000,13650,Outlet
West Gear,1128299,1/4/2021,Unknown,California,San Francisco,Men's Apparel,65,550,35750,19662.5,Outlet
West Gear,1128299,1/5/2021,West,California,San Francisco,Women's Apparel,80,725,58000,11600,Outlet
West Gear,1128299,1/6/2021,West,California,San Francisco,Men's Street Footwear,60,975,58500,23400,Outlet
West Gear,1128299,1/7/2021,West,California,San Francisco,Men's Athletic Footwear,65,825,53625,13406.25,Outlet
West Gear,1128299,1/8/2021,West,California,San Francisco,Women's Street Footwear,65,825,53625,21450,Outlet
West Gear,1128299,1/9/2021,West,California,San Francisco,Women's Athletic Footwear,60,700,42000,14700,Outlet
West Gear,1128299,1/10/2021,West,California,San Francisco,Men's Apparel,65,575,37375,20556.25,Outlet
West Gear,1128299,1/11/2021,West,California,San Francisco,Women's Apparel,80,875,70000,14000,Outlet
West Gear,1128299,1/12/2021,West,California,San Francisco,Men's Street Footwear,60,1025,61500,21525,Outlet
West Gear,1128299,1/13/2021,West,California,San Francisco,Men's Athletic Footwear,65,875,56875,11375,Outlet
West Gear,1128299,1/14/2021,West,California,San Francisco,Women's Street Footwear,65,825,53625,18768.75,Outlet
West Gear,1128299,1/15/2021,West,California,San Francisco,Women's Athletic Footwear,60,725,43500,13050,Outlet
West Gear,1128299,1/16/2021,West,California,San Francisco,Men's Apparel,65,775,50375,25187.5,Outlet
West Gear,1128299,1/17/2021,West,California,San Francisco,Women's Apparel,80,775,62000,9300,Outlet
West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,65,975,63375,22181.25,Outlet
West Gear,1128299,1/19/2021,West,California,San Francisco,Men's Athletic Footwear,70,925,64750,12950,Outlet
West Gear,1128299,1/20/2021,West,California,San Francisco,Women's Street Footwear,65,800,52000,18200,Outlet
West Gear,1128299,1/21/2021,West,California,San Francisco,Women's Athletic Footwear,65,750,48750,14625,Outlet
West Gear,1128299,1/22/2021,West,California,San Francisco,Men's Apparel,75,750,56250,28125,Outlet
West Gear,1128299,1/23/2021,West,California,San Francisco,Women's Apparel,80,725,58000,8700,Outlet
West Gear,1128299,1/24/2021,West,California,San Francisco,Men's Street Footwear,55,925,50875,15262.5,Outlet
West Gear,1128299,1/25/2021,West,California,San Francisco,Men's Athletic Footwear,60,925,55500,8325,Outlet
West Gear,1128299,1/26/2021,West,California,San Francisco,Women's Street Footwear,55,775,42625,12787.5,Outlet
West Gear,1128299,1/27/2021,West,California,San Francisco,Women's Athletic Footwear,55,725,39875,9968.75,Outlet
West Gear,1128299,1/28/2021,West,California,San Francisco,Men's Apparel,65,725,47125,21206.25,Outlet
West Gear,1128299,1/29/2021,West,California,San Francisco,Women's Apparel,70,775,54250,5425,Outlet
West Gear,1128299,1/30/2021,West,California,San Francisco,Men's Street Footwear,55,875,48125,14437.5,Outlet
West Gear,1128299,1/31/2021,West,California,San Francisco,Men's Athletic Footwear,60,875,52500,7875,Outlet
West Gear,1128299,2/1/2021,West,California,San Francisco,Women's Street Footwear,55,700,38500,11550,Outlet
West Gear,1128299,2/2/2021,West,California,San Francisco,Women's Athletic Footwear,55,675,37125,9281.25,Outlet
West Gear,1128299,2/3/2021,West,California,San Francisco,Men's Apparel,65,650,42250,19012.5,Outlet
West Gear,1128299,2/4/2021,West,California,San Francisco,Women's Apparel,70,700,49000,4900,Outlet
West Gear,1128299,2/5/2021,West,California,San Francisco,Men's Street Footwear,55,875,48125,14437.5,Outlet
West Gear,1128299,2/6/2021,West,California,San Francisco,Men's Athletic Footwear,60,875,52500,7875,Outlet
West Gear,1128299,2/7/2021,West,California,San Francisco,Women's Street Footwear,55,725,39875,11962.5,Outlet
West Gear,1128299,2/8/2021,West,California,San Francisco,Women's Athletic Footwear,55,700,38500,9625,Outlet
West Gear,1128299,2/9/2021,West,California,San Francisco,Men's Apparel,65,650,42250,19012.5,Outlet
West Gear,1128299,2/10/2021,West,California,San Francisco,Women's Apparel,70,775,54250,5425,Outlet
West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,55,975,53625,16087.5,Outlet
West Gear,1128299,2/12/2021,West,California,San Francisco,Men's Athletic Footwear,60,975,58500,8775,Outlet
West Gear,1128299,2/13/2021,West,California,San Francisco,Women's Street Footwear,55,775,42625,12787.5,Outlet
West Gear,1128299,2/14/2021,West,California,San Francisco,Women's Athletic Footwear,55,775,42625,10656.25,Outlet
West Gear,1128299,2/15/2021,West,California,San Francisco,Men's Apparel,65,700,45500,20475,Outlet
West Gear,1128299,2/16/2021,West,California,San Francisco,Women's Apparel,70,800,56000,5600,Outlet
Kohl's,1189833,2/17/2021,West,California,San Francisco,Men's Street Footwear,35,700,24500,9800,Outlet
Kohl's,1189833,2/18/2021,West,California,San Francisco,Men's Athletic Footwear,45,700,31500,7875,Outlet
Kohl's,1189833,3/9/2021,West,California,San Francisco,Women's Street Footwear,45,700,31500,12600,Outlet
Kohl's,1189833,3/10/2021,West,California,San Francisco,Women's Athletic Footwear,45,550,24750,8662.5,Outlet
Kohl's,1189833,3/11/2021,West,California,Los Angeles,Men's Apparel,50,500,25000,13750,Outlet
Kohl's,1189833,3/12/2021,West,California,Los Angeles,Women's Apparel,45,700,31500,6300,Outlet
Kohl's,1189833,3/13/2021,West,California,Los Angeles,Men's Street Footwear,35,750,26250,10500,Outlet
Kohl's,1189833,3/14/2021,West,California,Los Angeles,Men's Athletic Footwear,45,650,29250,7312.5,Outlet
Kohl's,1189833,3/15/2021,West,California,Los Angeles,Women's Street Footwear,45,675,30375,12150,Outlet
Kohl's,1189833,3/16/2021,West,California,Los Angeles,Women's Athletic Footwear,45,525,23625,8268.75,Outlet
Kohl's,1189833,3/17/2021,West,California,Los Angeles,Men's Apparel,50,450,22500,12375,Outlet
Kohl's,1189833,3/18/2021,West,California,Los Angeles,Women's Apparel,45,650,29250,5850,Outlet
Kohl's,1189833,3/19/2021,West,California,Los Angeles,Men's Street Footwear,35,800,28000,11200,Outlet
Kohl's,1189833,3/20/2021,West,California,Los Angeles,Men's Athletic Footwear,45,650,29250,7312.5,Outlet
Kohl's,1189833,3/21/2021,West,California,Los Angeles,Women's Street Footwear,45,650,29250,11700,Outlet
Kohl's,1189833,3/22/2021,West,California,Los Angeles,Women's Athletic Footwear,45,550,24750,8662.5,Outlet
Kohl's,1189833,3/23/2021,West,California,Los Angeles,Men's Apparel,50,425,21250,11687.5,Outlet
Kohl's,1189833,4/6/2021,West,California,Los Angeles,Women's Apparel,45,625,28125,5625,Outlet
Kohl's,1189833,4/7/2021,West,California,Los Angeles,Men's Street Footwear,45,800,36000,14400,Outlet
Kohl's,1189833,4/8/2021,West,California,Los Angeles,Men's Athletic Footwear,50,600,30000,7500,Outlet
Kohl's,1189833,4/9/2021,West,California,Los Angeles,Women's Street Footwear,50,625,31250,12500,Outlet
Kohl's,1189833,4/10/2021,West,California,Los Angeles,Women's Athletic Footwear,45,525,23625,8268.75,Outlet
Kohl's,1189833,4/11/2021,West,California,Los Angeles,Men's Apparel,50,425,21250,11687.5,Outlet
Kohl's,1189833,4/12/2021,West,California,Los Angeles,Women's Apparel,65,600,39000,7800,Outlet
Kohl's,1189833,4/13/2021,West,California,Los Angeles,Men's Street Footwear,45,800,36000,14400,Outlet
Kohl's,1189833,4/14/2021,West,California,Los Angeles,Men's Athletic Footwear,50,650,32500,8125,Outlet
Kohl's,1189833,4/15/2021,West,California,Los Angeles,Women's Street Footwear,50,650,32500,13000,Outlet
Kohl's,1189833,4/16/2021,West,California,Los Angeles,Women's Athletic Footwear,45,550,24750,8662.5,Outlet
Kohl's,1189833,4/17/2021,West,California,Los Angeles,Men's Apparel,50,450,22500,12375,Outlet
Kohl's,1189833,4/18/2021,West,California,Los Angeles,Women's Apparel,65,625,40625,8125,Outlet
Kohl's,1189833,4/19/2021,West,California,Los Angeles,Men's Street Footwear,45,900,40500,16200,Outlet
Kohl's,1189833,4/20/2021,West,California,Los Angeles,Men's Athletic Footwear,50,750,37500,9375,Outlet
Kohl's,1189833,4/21/2021,West,California,Los Angeles,Women's Street Footwear,50,750,37500,15000,Outlet
Kohl's,1189833,4/22/2021,West,California,Los Angeles,Women's Athletic Footwear,45,625,28125,9843.75,Outlet
Kohl's,1189833,4/23/2021,West,California,Los Angeles,Men's Apparel,50,500,25000,13750,Outlet
Kohl's,1189833,4/24/2021,West,California,Los Angeles,Women's Apparel,65,800,52000,10400,Outlet
Kohl's,1189833,4/25/2021,West,California,Los Angeles,Men's Street Footwear,45,950,42750,17100,Outlet
Kohl's,1189833,4/26/2021,West,California,Los Angeles,Men's Athletic Footwear,50,800,40000,10000,Outlet
Kohl's,1189833,4/27/2021,West,California,Los Angeles,Women's Street Footwear,50,750,37500,15000,Outlet
Kohl's,1189833,4/28/2021,West,California,Los Angeles,Women's Athletic Footwear,45,650,29250,10237.5,Outlet
Kohl's,1189833,4/29/2021,West,California,Los Angeles,Men's Apparel,50,700,35000,19250,Outlet
Kohl's,1189833,4/30/2021,West,California,Los Angeles,Women's Apparel,65,700,45500,9100,Outlet
Kohl's,1189833,5/1/2021,West,California,Los Angeles,Men's Street Footwear,50,900,45000,18000,Outlet
Kohl's,1189833,5/2/2021,West,California,Los Angeles,Men's Athletic Footwear,55,850,46750,11687.5,Outlet
Kohl's,1189833,5/3/2021,West,California,Los Angeles,Women's Street Footwear,50,725,36250,14500,Outlet
Kohl's,1189833,5/4/2021,West,California,Los Angeles,Women's Athletic Footwear,50,675,33750,11812.5,Outlet
Kohl's,1189833,5/5/2021,West,California,Los Angeles,Men's Apparel,60,675,40500,22275,Outlet
Kohl's,1189833,5/6/2021,West,California,Los Angeles,Women's Apparel,65,650,42250,8450,Outlet
Kohl's,1189833,5/7/2021,West,California,Los Angeles,Men's Street Footwear,50,850,42500,17000,Outlet
Kohl's,1189833,5/8/2021,West,California,Los Angeles,Men's Athletic Footwear,55,850,46750,11687.5,Outlet
